Full Name,Sheet Name,Form Name,Gen,SubLegendary,Legendary,Mythical,Species,Type 1,Type 2,Height (m),Weight (kg),Ability 1,Ability 2,Hidden Ability,BST,HP,ATK,DEF,SP. ATK,SP. DEF,SPD,catchRate,baseFriendship,baseExp,growthRate,MALE%,Clean Name,Starter,hasVariants,dex #,starterCost,starterDex
BULBASAUR,BULBASAUR,,1,FALSE,FALSE,FALSE,Seed Pokémon,GRASS,POISON,0.7,6.9,OVERGROW,NONE,CHLOROPHYLL,318,45,49,49,65,65,45,45,50,64,MEDIUM_SLOW,87.5,Bulbasaur,BULBASAUR,TRUE,1,3,1
IVYSAUR,IVYSAUR,,1,FALSE,FALSE,FALSE,Seed Pokémon,GRASS,POISON,1,13,OVERGROW,NONE,CHLOROPHYLL,405,60,62,63,80,80,60,45,50,142,MEDIUM_SLOW,87.5,Ivysaur,BULBASAUR,TRUE,2,,1
VENUSAUR,VENUSAUR,,1,FALSE,FALSE,FALSE,Seed Pokémon,GRASS,POISON,2,100,OVERGROW,NONE,CHLOROPHYLL,525,80,82,83,100,100,80,45,50,263,MEDIUM_SLOW,87.5,Venusaur,BULBASAUR,TRUE,3,,1
VENUSAUR (Normal),VENUSAUR,Normal,,,,,,GRASS,POISON,2,100,OVERGROW,NONE,CHLOROPHYLL,525,80,82,83,100,100,80,45,50,263,,,Venusaur,BULBASAUR,TRUE,3,,1
VENUSAUR (Mega),VENUSAUR,Mega,,,,,,GRASS,POISON,2.4,155.5,THICK_FAT,THICK_FAT,THICK_FAT,625,80,100,123,122,120,80,45,50,263,,,Venusaur,BULBASAUR,TRUE,3,,1
VENUSAUR (G-Max),VENUSAUR,G-Max,,,,,,GRASS,POISON,24,999.9,EFFECT_SPORE,NONE,EFFECT_SPORE,625,120,122,90,108,105,80,45,50,263,,,Venusaur,BULBASAUR,TRUE,3,,1
CHARMANDER,CHARMANDER,,1,FALSE,FALSE,FALSE,Lizard Pokémon,FIRE,,0.6,8.5,BLAZE,NONE,SOLAR_POWER,309,39,52,43,60,50,65,45,50,62,MEDIUM_SLOW,87.5,Charmander,CHARMANDER,TRUE,4,3,4
CHARMELEON,CHARMELEON,,1,FALSE,FALSE,FALSE,Flame Pokémon,FIRE,,1.1,19,BLAZE,NONE,SOLAR_POWER,405,58,64,58,80,65,80,45,50,142,MEDIUM_SLOW,87.5,Charmeleon,CHARMANDER,TRUE,5,,4
CHARIZARD,CHARIZARD,,1,FALSE,FALSE,FALSE,Flame Pokémon,FIRE,FLYING,1.7,90.5,BLAZE,NONE,SOLAR_POWER,534,78,84,78,109,85,100,45,50,267,MEDIUM_SLOW,87.5,Charizard,CHARMANDER,TRUE,6,,4
CHARIZARD (Normal),CHARIZARD,Normal,,,,,,FIRE,FLYING,1.7,90.5,BLAZE,NONE,SOLAR_POWER,534,78,84,78,109,85,100,45,50,267,,,Charizard,CHARMANDER,TRUE,6,,4
CHARIZARD (Mega X),CHARIZARD,Mega X,,,,,,FIRE,DRAGON,1.7,110.5,TOUGH_CLAWS,NONE,TOUGH_CLAWS,634,78,130,111,130,85,100,45,50,267,,,Charizard,CHARMANDER,TRUE,6,,4
CHARIZARD (Mega Y),CHARIZARD,Mega Y,,,,,,FIRE,FLYING,1.7,100.5,DROUGHT,NONE,DROUGHT,634,78,104,78,159,115,100,45,50,267,,,Charizard,CHARMANDER,TRUE,6,,4
CHARIZARD (G-Max),CHARIZARD,G-Max,,,,,,FIRE,FLYING,28,999.9,BERSERK,NONE,BERSERK,634,118,99,88,134,95,100,45,50,267,,,Charizard,CHARMANDER,TRUE,6,,4
SQUIRTLE,SQUIRTLE,,1,FALSE,FALSE,FALSE,Tiny Turtle Pokémon,WATER,,0.5,9,TORRENT,NONE,RAIN_DISH,314,44,48,65,50,64,43,45,50,63,MEDIUM_SLOW,87.5,Squirtle,SQUIRTLE,TRUE,7,3,7
WARTORTLE,WARTORTLE,,1,FALSE,FALSE,FALSE,Turtle Pokémon,WATER,,1,22.5,TORRENT,NONE,RAIN_DISH,405,59,63,80,65,80,58,45,50,142,MEDIUM_SLOW,87.5,Wartortle,SQUIRTLE,TRUE,8,,7
BLASTOISE,BLASTOISE,,1,FALSE,FALSE,FALSE,Shellfish Pokémon,WATER,,1.6,85.5,TORRENT,NONE,RAIN_DISH,530,79,83,100,85,105,78,45,50,265,MEDIUM_SLOW,87.5,Blastoise,SQUIRTLE,TRUE,9,,7
BLASTOISE (Normal),BLASTOISE,Normal,,,,,,WATER,,1.6,85.5,TORRENT,NONE,RAIN_DISH,530,79,83,100,85,105,78,45,50,265,,,Blastoise,SQUIRTLE,TRUE,9,,7
BLASTOISE (Mega),BLASTOISE,Mega,,,,,,WATER,,1.6,101.1,MEGA_LAUNCHER,NONE,MEGA_LAUNCHER,630,79,103,120,135,115,78,45,50,265,,,Blastoise,SQUIRTLE,TRUE,9,,7
BLASTOISE (G-Max),BLASTOISE,G-Max,,,,,,WATER,STEEL,25,999.9,SHELL_ARMOR,NONE,SHELL_ARMOR,630,119,108,125,105,110,63,45,50,265,,,Blastoise,SQUIRTLE,TRUE,9,,7
CATERPIE,CATERPIE,,1,FALSE,FALSE,FALSE,Worm Pokémon,BUG,,0.3,2.9,SHIELD_DUST,NONE,RUN_AWAY,195,45,30,35,20,20,45,255,50,39,MEDIUM_FAST,50,Caterpie,CATERPIE,TRUE,10,2,10
METAPOD,METAPOD,,1,FALSE,FALSE,FALSE,Cocoon Pokémon,BUG,,0.7,9.9,SHED_SKIN,NONE,SHED_SKIN,205,50,20,55,25,25,30,120,50,72,MEDIUM_FAST,50,Metapod,CATERPIE,TRUE,11,,10
BUTTERFREE,BUTTERFREE,,1,FALSE,FALSE,FALSE,Butterfly Pokémon,BUG,FLYING,1.1,32,COMPOUND_EYES,NONE,TINTED_LENS,395,60,45,50,90,80,70,45,50,198,MEDIUM_FAST,50,Butterfree,CATERPIE,TRUE,12,,10
BUTTERFREE (Normal),BUTTERFREE,Normal,,,,,,BUG,FLYING,1.1,32,COMPOUND_EYES,NONE,TINTED_LENS,395,60,45,50,90,80,70,45,50,198,,,Butterfree,CATERPIE,TRUE,12,,10
